No,Transaction_Date,House_Age,Distance_to_MRT,Num_Convenience_Stores,Latitude,Longitude,House_Price
1,734838,32.0,84.87882,10,24.98298,121.54024,37.9
2,734838,19.5,306.5947,9,24.98034,121.53951,42.2
3,735079,13.3,561.9845,5,24.98746,121.54391,47.3
4,735050,13.3,561.9845,5,24.98746,121.54391,54.8
5,734806,5.0,390.5684,5,24.97937,121.54245,43.1
6,734747,7.1,2175.03,3,24.96305,121.51254,32.1
7,734747,34.5,623.4731,7,24.97933,121.53642,40.3
8,735020,20.3,287.6025,6,24.98042,121.54228,46.7
9,735050,31.7,5512.038,1,24.95095,121.48458,18.8
10,735020,17.9,1783.18,3,24.96731,121.51486,22.1
11,734898,34.8,405.2134,1,24.97349,121.53372,41.4
12,734988,6.3,90.45606,9,24.97433,121.5431,58.1
13,734838,13.0,492.2313,5,24.96515,121.53737,39.3
14,734747,20.4,2469.645,4,24.96108,121.51046,23.8
15,735050,13.2,1164.838,4,24.99156,121.53406,34.3
16,735079,35.7,579.2083,2,24.9824,121.54619,50.5
17,734959,0.0,292.9978,6,24.97744,121.54458,70.1
18,734777,17.7,350.8515,1,24.97544,121.53119,37.4
19,735020,16.9,368.1363,8,24.9675,121.54451,42.3
20,734747,1.5,23.38284,7,24.96772,121.54102,47.7
21,735020,4.5,2275.877,3,24.96314,121.51151,29.3
22,735020,10.5,279.1726,7,24.97528,121.54541,51.6
23,734838,14.7,1360.139,1,24.95204,121.54842,24.6
24,734898,10.1,279.1726,7,24.97528,121.54541,47.9
25,734869,39.6,480.6977,4,24.97353,121.53885,38.8
26,734898,29.3,1487.868,2,24.97542,121.51726,27.0
27,734747,3.1,383.8624,5,24.98085,121.54391,56.2
28,734959,10.4,276.449,5,24.95593,121.53913,33.6
29,735050,19.2,557.478,4,24.97419,121.53797,47.0
30,734898,7.1,451.2438,5,24.97563,121.54694,57.1
31,735050,25.9,4519.69,0,24.94826,121.49587,22.1
32,734777,29.6,769.4034,7,24.98281,121.53408,25.0
33,734777,37.9,488.5727,1,24.97349,121.53451,34.2
34,734959,16.5,323.655,6,24.97841,121.54281,49.3
35,734777,15.4,205.367,7,24.98419,121.54243,55.1
36,735050,13.9,4079.418,0,25.01459,121.51816,27.3
37,734838,14.7,1935.009,2,24.96386,121.51458,22.9
38,734928,12.0,1360.139,1,24.95204,121.54842,25.3
39,734747,3.1,577.9615,6,24.97201,121.54722,47.7
40,734928,16.2,289.3248,5,24.98203,121.54348,46.2
41,734869,13.6,4082.015,0,24.94155,121.50381,15.9
42,735050,16.8,4066.587,0,24.94297,121.50342,18.2
43,735020,36.1,519.4617,5,24.96305,121.53758,34.7
44,734777,34.4,512.7871,6,24.98748,121.54301,34.1
45,735079,2.7,533.4762,4,24.97445,121.54765,53.9
46,734898,36.6,488.8193,8,24.97015,121.54494,38.3
47,735020,21.7,463.9623,9,24.9703,121.54458,42.0
48,735079,35.9,640.7391,3,24.97563,121.53715,61.5
49,735020,24.2,4605.749,0,24.94684,121.49578,13.4
50,734747,29.4,4510.359,1,24.94925,121.49542,13.2
51,735020,21.7,512.5487,4,24.974,121.53842,44.2
52,734898,31.3,1758.406,1,24.95402,121.55282,20.7
53,735079,32.1,1438.579,3,24.97419,121.5175,27.0
54,734898,13.3,492.2313,5,24.96515,121.53737,38.9
55,734898,16.1,289.3248,5,24.98203,121.54348,51.7
56,734806,31.7,1160.632,0,24.94968,121.53009,13.7
57,735020,33.6,371.2495,8,24.97254,121.54059,41.9
58,734838,3.5,56.47425,7,24.95744,121.53711,53.5
59,735050,30.3,4510.359,1,24.94925,121.49542,22.6
60,734898,13.3,336.0532,5,24.95776,121.53438,42.4
61,735020,11.0,1931.207,2,24.96365,121.51471,21.3
62,735050,5.3,259.6607,6,24.97585,121.54516,63.2
63,734838,17.2,2175.877,3,24.96303,121.51254,27.7
64,735079,2.6,533.4762,4,24.97445,121.54765,55.0
65,734988,17.5,995.7554,0,24.96305,121.54915,25.3
66,735020,40.1,123.7429,8,24.97635,121.54329,44.3
67,734869,1.0,193.5845,6,24.96571,121.54089,50.7
68,735050,8.5,104.8101,5,24.96674,121.54067,56.8
69,735020,30.4,464.223,6,24.97964,121.53805,36.2
70,734806,12.5,561.9845,5,24.98746,121.54391,42.0
71,735079,6.6,90.45606,9,24.97433,121.5431,59.0
72,734898,35.5,640.7391,3,24.97563,121.53715,40.8
73,735079,32.5,424.5442,8,24.97587,121.53913,36.3
74,734928,13.8,4082.015,0,24.94155,121.50381,20.0
75,734838,6.8,379.5575,10,24.98343,121.53762,54.4
76,735050,12.3,1360.139,1,24.95204,121.54842,29.5
77,735079,35.9,616.4004,3,24.97723,121.53767,36.8
78,734806,20.5,2185.128,3,24.96322,121.51237,25.6
79,734838,38.2,552.4371,2,24.97598,121.53381,29.8
80,734869,18.0,1414.837,1,24.95182,121.54887,26.5
81,735050,11.8,533.4762,4,24.97445,121.54765,40.3
82,734869,30.8,377.7956,6,24.96427,121.53964,36.8
83,734898,13.2,150.9347,7,24.96725,121.54252,48.1
84,734838,25.3,2707.392,3,24.96056,121.50831,17.7
85,734898,15.1,383.2805,7,24.96735,121.54464,43.7
86,734777,0.0,338.9679,9,24.96853,121.54413,50.8
87,734806,1.8,1455.798,1,24.9512,121.549,27.0
88,735079,16.9,4066.587,0,24.94297,121.50342,18.3
89,734838,8.9,1406.43,0,24.98573,121.52758,48.0
90,735050,23.0,3947.945,0,24.94783,121.50243,25.3
91,734806,0.0,274.0144,1,24.9748,121.53059,45.4
92,734959,9.1,1402.016,0,24.98569,121.5276,43.2
93,734838,20.6,2469.645,4,24.96108,121.51046,21.8
94,734838,31.9,1146.329,0,24.9492,121.53076,16.1
95,734838,40.9,167.5989,5,24.9663,121.54026,41.0
96,734838,8.0,104.8101,5,24.96674,121.54067,51.8
97,735020,6.4,90.45606,9,24.97433,121.5431,59.5
98,734898,28.4,617.4424,3,24.97746,121.53299,34.6
99,735020,16.4,289.3248,5,24.98203,121.54348,51.0
100,735020,6.4,90.45606,9,24.97433,121.5431,62.2
101,735050,17.5,964.7496,4,24.98872,121.53411,38.2
102,734806,12.7,170.1289,1,24.97371,121.52984,32.9
103,734898,1.1,193.5845,6,24.96571,121.54089,54.4
104,734777,0.0,208.3905,6,24.95618,121.53844,45.7
105,734747,32.7,392.4459,6,24.96398,121.5425,30.5
106,734806,0.0,292.9978,6,24.97744,121.54458,71.0
107,734898,17.2,189.5181,8,24.97707,121.54308,47.1
108,734988,12.2,1360.139,1,24.95204,121.54842,26.6
109,735020,31.4,592.5006,2,24.9726,121.53561,34.1
110,735079,4.0,2147.376,3,24.96299,121.51284,28.4
111,734898,8.1,104.8101,5,24.96674,121.54067,51.6
112,735079,33.3,196.6172,7,24.97701,121.54224,39.4
113,735020,9.9,2102.427,3,24.96044,121.51462,23.1
114,734988,14.8,393.2606,6,24.96172,121.53812,7.6
115,734747,30.6,143.8383,8,24.98155,121.54142,53.3
116,734898,20.6,737.9161,2,24.98092,121.54739,46.4
117,734869,30.9,6396.283,1,24.94375,121.47883,12.2
118,734869,13.6,4197.349,0,24.93885,121.50383,13.0
119,735050,25.3,1583.722,3,24.96622,121.51709,30.6
120,735050,16.6,289.3248,5,24.98203,121.54348,59.6
121,734928,13.3,492.2313,5,24.96515,121.53737,31.3
122,735050,13.6,492.2313,5,24.96515,121.53737,48.0
123,734959,31.5,414.9476,4,24.98199,121.54464,32.5
124,735020,0.0,185.4296,0,24.9711,121.5317,45.5
125,734838,9.9,279.1726,7,24.97528,121.54541,57.4
126,734928,1.1,193.5845,6,24.96571,121.54089,48.6
127,734898,38.6,804.6897,4,24.97838,121.53477,62.9
128,734959,3.8,383.8624,5,24.98085,121.54391,55.0
129,734898,41.3,124.9912,6,24.96674,121.54039,60.7
130,735020,38.5,216.8329,7,24.98086,121.54162,41.0
131,734959,29.6,535.527,8,24.98092,121.53653,37.5
132,735050,4.0,2147.376,3,24.96299,121.51284,30.7
133,734928,26.6,482.7581,5,24.97433,121.53863,37.5
134,734806,18.0,373.3937,8,24.9866,121.54082,39.5
135,734747,33.4,186.9686,6,24.96604,121.54211,42.2
136,734838,18.9,1009.235,0,24.96357,121.54951,20.8
137,734777,11.4,390.5684,5,24.97937,121.54245,46.8
138,735050,13.6,319.0708,6,24.96495,121.54277,47.4
139,734928,10.0,942.4664,0,24.97843,121.52406,43.5
140,734747,12.9,492.2313,5,24.96515,121.53737,42.5
141,734959,16.2,289.3248,5,24.98203,121.54348,51.4
142,734988,5.1,1559.827,3,24.97213,121.51627,28.9
143,735020,19.8,640.6071,5,24.97017,121.54647,37.5
144,735050,13.6,492.2313,5,24.96515,121.53737,40.1
145,734898,11.9,1360.139,1,24.95204,121.54842,28.4
146,734838,2.1,451.2438,5,24.97563,121.54694,45.5
147,734777,0.0,185.4296,0,24.9711,121.5317,52.2
148,734777,3.2,489.8821,8,24.97017,121.54494,43.2
149,735050,16.4,3780.59,0,24.93293,121.51203,45.1
150,734747,34.9,179.4538,8,24.97349,121.54245,39.7
151,734959,35.8,170.7311,7,24.96719,121.54269,48.5
152,735050,4.9,387.7721,9,24.98118,121.53788,44.7
153,734988,12.0,1360.139,1,24.95204,121.54842,28.9
154,734959,6.5,376.1709,6,24.95418,121.53713,40.9
155,735050,16.9,4066.587,0,24.94297,121.50342,20.7
156,734928,13.8,4082.015,0,24.94155,121.50381,15.6
157,735079,30.7,1264.73,0,24.94883,121.52954,18.3
158,734959,16.1,815.9314,4,24.97886,121.53464,35.6
159,734869,11.6,390.5684,5,24.97937,121.54245,39.4
160,734747,15.5,815.9314,4,24.97886,121.53464,37.4
161,734838,3.5,49.66105,8,24.95836,121.53756,57.8
162,735020,19.2,616.4004,3,24.97723,121.53767,39.6
163,734777,16.0,4066.587,0,24.94297,121.50342,11.6
164,735050,8.5,104.8101,5,24.96674,121.54067,55.5
165,734806,0.0,185.4296,0,24.9711,121.5317,55.2
166,734838,13.7,1236.564,1,24.97694,121.55391,30.6
167,735020,0.0,292.9978,6,24.97744,121.54458,73.6
168,735020,28.2,330.0854,8,24.97408,121.54011,43.4
169,734898,27.6,515.1122,5,24.96299,121.5432,37.4
170,735020,8.4,1962.628,1,24.95468,121.55481,23.5
171,734988,24.0,4527.687,0,24.94741,121.49628,14.4
172,734898,3.6,383.8624,5,24.98085,121.54391,58.8
173,735079,6.6,90.45606,9,24.97433,121.5431,58.1
174,734898,41.3,401.8807,4,24.98326,121.5446,35.1
175,735020,4.3,432.0385,7,24.9805,121.53778,45.2
176,734898,30.2,472.1745,3,24.97005,121.53758,36.5
177,734806,13.9,4573.779,0,24.94867,121.49507,19.2
178,734898,33.0,181.0766,9,24.97697,121.54262,42.0
179,735050,13.1,1144.436,4,24.99176,121.53456,36.7
180,734898,14.0,438.8513,1,24.97493,121.5273,42.6
181,734747,26.9,4449.27,0,24.94898,121.49621,15.5
182,734928,11.6,201.8939,8,24.98489,121.54121,55.9
183,735050,13.5,2147.376,3,24.96299,121.51284,23.6
184,735050,17.0,4082.015,0,24.94155,121.50381,18.8
185,734777,14.1,2615.465,0,24.95495,121.56174,21.8
186,734777,31.4,1447.286,3,24.97285,121.5173,21.5
187,734928,20.9,2185.128,3,24.96322,121.51237,25.7
188,734869,8.9,3078.176,0,24.95464,121.56627,22.0
189,734838,34.8,190.0392,8,24.97707,121.54312,44.3
190,734838,16.3,4066.587,0,24.94297,121.50342,20.5
191,735050,35.3,616.5735,8,24.97945,121.53642,42.3
192,734928,13.2,750.0704,2,24.97371,121.54951,37.8
193,734928,43.8,57.58945,7,24.9675,121.54069,42.7
194,735020,9.7,421.479,5,24.98246,121.54477,49.3
195,735050,15.2,3771.895,0,24.93363,121.51158,29.3
196,734988,15.2,461.1016,5,24.95425,121.5399,34.6
197,734869,22.8,707.9067,2,24.981,121.54713,36.6
198,734959,34.4,126.7286,8,24.96881,121.54089,48.2
199,734898,34.0,157.6052,7,24.96628,121.54196,39.1
200,735020,18.2,451.6419,8,24.96945,121.5449,31.6
201,735020,17.4,995.7554,0,24.96305,121.54915,25.5
202,735020,13.1,561.9845,5,24.98746,121.54391,45.9
203,734838,38.3,642.6985,3,24.97559,121.53713,31.5
204,734747,15.6,289.3248,5,24.98203,121.54348,46.1
205,734869,18.0,1414.837,1,24.95182,121.54887,26.6
206,734898,12.8,1449.722,3,24.97289,121.51728,21.4
207,734959,22.2,379.5575,10,24.98343,121.53762,44.0
208,734898,38.5,665.0636,3,24.97503,121.53692,34.2
209,734777,11.5,1360.139,1,24.95204,121.54842,26.2
210,734806,34.8,175.6294,8,24.97347,121.54271,40.9
211,735050,5.2,390.5684,5,24.97937,121.54245,52.2
212,734898,0.0,274.0144,1,24.9748,121.53059,43.5
213,734988,17.6,1805.665,2,24.98672,121.52091,31.1
214,734898,6.2,90.45606,9,24.97433,121.5431,58.0
215,735079,18.1,1783.18,3,24.96731,121.51486,20.9
216,734988,19.2,383.7129,8,24.972,121.54477,48.1
217,734959,37.8,590.9292,1,24.97153,121.53559,39.7
218,734838,28.0,372.6242,6,24.97838,121.54119,40.8
219,735020,13.6,492.2313,5,24.96515,121.53737,43.8
220,734777,29.3,529.7771,8,24.98102,121.53655,40.2
221,734988,37.2,186.5101,9,24.97703,121.54265,78.3
222,734988,9.0,1402.016,0,24.98569,121.5276,38.5
223,735079,30.6,431.1114,10,24.98123,121.53743,48.5
224,734959,9.1,1402.016,0,24.98569,121.5276,42.3
225,734988,34.5,324.9419,6,24.97814,121.5417,46.0
226,734959,1.1,193.5845,6,24.96571,121.54089,49.0
227,734869,16.5,4082.015,0,24.94155,121.50381,12.8
228,734838,32.4,265.0609,8,24.98059,121.53986,40.2
229,735020,11.9,3171.329,0,25.00115,121.51776,46.6
230,735079,31.0,1156.412,0,24.9489,121.53095,19.0
231,735050,4.0,2147.376,3,24.96299,121.51284,33.4
232,734806,16.2,4074.736,0,24.94235,121.50357,14.7
233,734838,27.1,4412.765,1,24.95032,121.49587,17.4
234,734988,39.7,333.3679,9,24.98016,121.53932,32.4
235,734959,8.0,2216.612,4,24.96007,121.51361,23.9
236,734777,12.9,250.631,7,24.96606,121.54297,39.3
237,734928,3.6,373.8389,10,24.98322,121.53765,61.9
238,734928,13.0,732.8528,0,24.97668,121.52518,39.0
239,734898,12.8,732.8528,0,24.97668,121.52518,40.6
240,735050,18.1,837.7233,0,24.96334,121.54767,29.7
241,734898,11.0,1712.632,2,24.96412,121.5167,28.8
242,735050,13.7,250.631,7,24.96606,121.54297,41.4
243,734806,2.0,2077.39,3,24.96357,121.51329,33.4
244,735020,32.8,204.1705,8,24.98236,121.53923,48.2
245,734898,4.8,1559.827,3,24.97213,121.51627,21.7
246,735020,7.5,639.6198,5,24.97258,121.54814,40.8
247,735020,16.4,389.8219,6,24.96412,121.54273,40.6
248,734988,21.7,1055.067,0,24.96211,121.54928,23.1
249,734869,19.0,1009.235,0,24.96357,121.54951,22.3
250,734806,18.0,6306.153,1,24.95743,121.47516,15.0
251,734928,39.2,424.7132,7,24.97429,121.53917,30.0
252,734838,31.7,1159.454,0,24.9496,121.53018,13.8
253,734806,5.9,90.45606,9,24.97433,121.5431,52.7
254,734747,30.4,1735.595,2,24.96464,121.51623,25.9
255,734747,1.1,329.9747,5,24.98254,121.54395,51.8
256,735020,31.5,5512.038,1,24.95095,121.48458,17.4
257,734747,14.6,339.2289,1,24.97519,121.53151,26.5
258,734959,17.3,444.1334,1,24.97501,121.5273,43.9
259,735020,0.0,292.9978,6,24.97744,121.54458,63.3
260,734898,17.7,837.7233,0,24.96334,121.54767,28.8
261,734959,17.0,1485.097,4,24.97073,121.517,30.7
262,734928,16.2,2288.011,3,24.95885,121.51359,24.4
263,734838,15.9,289.3248,5,24.98203,121.54348,53.0
264,735020,3.9,2147.376,3,24.96299,121.51284,31.7
265,734928,32.6,493.657,7,24.96968,121.54522,40.6
266,734806,15.7,815.9314,4,24.97886,121.53464,38.1
267,734959,17.8,1783.18,3,24.96731,121.51486,23.7
268,734806,34.7,482.7581,5,24.97433,121.53863,41.1
269,735020,17.2,390.5684,5,24.97937,121.54245,40.1
270,734869,17.6,837.7233,0,24.96334,121.54767,23.0
271,734988,10.8,252.5822,1,24.9746,121.53046,117.5
272,734838,17.7,451.6419,8,24.96945,121.5449,26.5
273,734777,13.0,492.2313,5,24.96515,121.53737,40.5
274,735020,13.2,170.1289,1,24.97371,121.52984,29.3
275,734928,27.5,394.0173,7,24.97305,121.53994,41.0
276,734747,1.5,23.38284,7,24.96772,121.54102,49.7
277,734869,19.1,461.1016,5,24.95425,121.5399,34.0
278,735020,21.2,2185.128,3,24.96322,121.51237,27.7
279,734777,0.0,208.3905,6,24.95618,121.53844,44.0
280,735020,2.6,1554.25,3,24.97026,121.51642,31.1
281,734959,2.3,184.3302,6,24.96581,121.54086,45.4
282,734988,4.7,387.7721,9,24.98118,121.53788,44.8
283,734838,2.0,1455.798,1,24.9512,121.549,25.6
284,735020,33.5,1978.671,2,24.98674,121.51844,23.5
285,734838,15.0,383.2805,7,24.96735,121.54464,34.4
286,734928,30.1,718.2937,3,24.97509,121.53644,55.3
287,734838,5.9,90.45606,9,24.97433,121.5431,56.3
288,734869,19.2,461.1016,5,24.95425,121.5399,32.9
289,735079,16.6,323.6912,6,24.97841,121.5428,51.0
290,734988,13.9,289.3248,5,24.98203,121.54348,44.5
291,734898,37.7,490.3446,0,24.97217,121.53471,37.0
292,734806,3.4,56.47425,7,24.95744,121.53711,54.4
293,734898,17.5,395.6747,5,24.95674,121.534,24.5
294,734747,12.6,383.2805,7,24.96735,121.54464,42.5
295,735050,26.4,335.5273,6,24.9796,121.5414,38.1
296,734928,18.2,2179.59,3,24.96299,121.51252,21.8
297,734777,12.5,1144.436,4,24.99176,121.53456,34.1
298,734806,34.9,567.0349,4,24.97003,121.5458,28.5
299,734988,16.7,4082.015,0,24.94155,121.50381,16.7
300,734928,33.2,121.7262,10,24.98178,121.54059,46.1
301,734898,2.5,156.2442,4,24.96696,121.53992,36.9
302,734777,38.0,461.7848,0,24.97229,121.53445,35.7
303,735050,16.5,2288.011,3,24.95885,121.51359,23.2
304,735050,38.3,439.7105,0,24.97161,121.53423,38.4
305,735020,20.0,1626.083,3,24.96622,121.51668,29.4
306,734898,16.2,289.3248,5,24.98203,121.54348,55.0
307,735050,14.4,169.9803,1,24.97369,121.52979,50.2
308,734806,10.3,3079.89,0,24.9546,121.56627,24.7
309,735020,16.4,289.3248,5,24.98203,121.54348,53.0
310,734959,30.3,1264.73,0,24.94883,121.52954,19.1
311,735079,16.4,1643.499,2,24.95394,121.55174,24.7
312,734928,21.3,537.7971,4,24.97425,121.53814,42.2
313,735079,35.4,318.5292,9,24.97071,121.54069,78.0
314,734988,8.3,104.8101,5,24.96674,121.54067,42.8
315,734959,3.7,577.9615,6,24.97201,121.54722,41.6
316,734898,15.6,1756.411,2,24.9832,121.51812,27.3
317,734959,13.3,250.631,7,24.96606,121.54297,42.0
318,734777,15.6,752.7669,2,24.97795,121.53451,37.5
319,734988,7.1,379.5575,10,24.98343,121.53762,49.8
320,734959,34.6,272.6783,5,24.95562,121.53872,26.9
321,734777,13.5,4197.349,0,24.93885,121.50383,18.6
322,734838,16.9,964.7496,4,24.98872,121.53411,37.7
323,734869,12.9,187.4823,1,24.97388,121.52981,33.1
324,735020,28.6,197.1338,6,24.97631,121.54436,42.5
325,734747,12.4,1712.632,2,24.96412,121.5167,31.3
326,734898,36.6,488.8193,8,24.97015,121.54494,38.1
327,735050,4.1,56.47425,7,24.95744,121.53711,62.1
328,735020,3.5,757.3377,3,24.97538,121.54971,36.7
329,734806,15.9,1497.713,3,24.97003,121.51696,23.6
330,734869,13.6,4197.349,0,24.93885,121.50383,19.2
331,734898,32.0,1156.777,0,24.94935,121.53046,12.8
332,734988,25.6,4519.69,0,24.94826,121.49587,15.6
333,734928,39.8,617.7134,2,24.97577,121.53475,39.6
334,734777,7.8,104.8101,5,24.96674,121.54067,38.4
335,734838,30.0,1013.341,5,24.99006,121.5346,22.8
336,735079,27.3,337.6016,6,24.96431,121.54063,36.5
337,734806,5.1,1867.233,2,24.98407,121.51748,35.6
338,734806,31.3,600.8604,5,24.96871,121.54651,30.9
339,734838,31.5,258.186,9,24.96867,121.54331,36.3
340,734988,1.7,329.9747,5,24.98254,121.54395,50.4
341,734988,33.6,270.8895,0,24.97281,121.53265,42.9
342,734869,13.0,750.0704,2,24.97371,121.54951,37.0
343,734747,5.7,90.45606,9,24.97433,121.5431,53.5
344,734869,33.5,563.2854,8,24.98223,121.53597,46.6
345,735050,34.6,3085.17,0,24.998,121.5155,41.2
346,734747,0.0,185.4296,0,24.9711,121.5317,37.9
347,735020,13.2,1712.632,2,24.96412,121.5167,30.8
348,735079,17.4,6488.021,1,24.95719,121.47353,11.2
349,734806,4.6,259.6607,6,24.97585,121.54516,53.7
350,734777,7.8,104.8101,5,24.96674,121.54067,47.0
351,734869,13.2,492.2313,5,24.96515,121.53737,42.3
352,734806,4.0,2180.245,3,24.96324,121.51241,28.6
353,734806,18.4,2674.961,3,24.96143,121.50827,25.7
354,735050,4.1,2147.376,3,24.96299,121.51284,31.3
355,735020,12.2,1360.139,1,24.95204,121.54842,30.1
356,734959,3.8,383.8624,5,24.98085,121.54391,60.7
357,734806,10.3,211.4473,1,24.97417,121.52999,45.3
358,735020,0.0,338.9679,9,24.96853,121.54413,44.9
359,734928,1.1,193.5845,6,24.96571,121.54089,45.1
360,735050,5.6,2408.993,0,24.95505,121.55964,24.7
361,734747,32.9,87.30222,10,24.983,121.54022,47.1
362,734898,41.4,281.205,8,24.97345,121.54093,63.3
363,735020,17.1,967.4,4,24.98872,121.53408,40.0
364,735050,32.3,109.9455,10,24.98182,121.54086,48.0
365,735020,35.3,614.1394,7,24.97913,121.53666,33.1
366,734838,17.3,2261.432,4,24.96182,121.51222,29.5
367,734777,14.2,1801.544,1,24.95153,121.55254,24.8
368,734806,15.0,1828.319,2,24.96464,121.51531,20.9
369,735020,18.2,350.8515,1,24.97544,121.53119,43.1
370,734747,20.2,2185.128,3,24.96322,121.51237,22.8
371,734777,15.9,289.3248,5,24.98203,121.54348,42.1
372,735050,4.1,312.8963,5,24.95591,121.53956,51.7
373,734869,33.9,157.6052,7,24.96628,121.54196,41.5
374,734898,0.0,274.0144,1,24.9748,121.53059,52.2
375,734959,5.4,390.5684,5,24.97937,121.54245,49.5
376,734959,21.7,1157.988,0,24.96165,121.55011,23.8
377,735020,14.7,1717.193,2,24.96447,121.51649,30.5
378,734988,3.9,49.66105,8,24.95836,121.53756,56.8
379,734988,37.3,587.8877,8,24.97077,121.54634,37.4
380,734988,0.0,292.9978,6,24.97744,121.54458,69.7
381,734988,14.1,289.3248,5,24.98203,121.54348,53.3
382,735020,8.0,132.5469,9,24.98298,121.53981,47.3
383,734869,16.3,3529.564,0,24.93207,121.51597,29.3
384,734747,29.1,506.1144,4,24.97845,121.53889,40.3
385,734777,16.1,4066.587,0,24.94297,121.50342,12.9
386,734869,18.3,82.88643,10,24.983,121.54026,46.6
387,734806,0.0,185.4296,0,24.9711,121.5317,55.3
388,734959,16.2,2103.555,3,24.96042,121.51462,25.6
389,735050,10.4,2251.938,4,24.95957,121.51353,27.3
390,734959,40.9,122.3619,8,24.96756,121.5423,67.7
391,735050,32.8,377.8302,9,24.97151,121.5435,38.6
392,735079,6.2,1939.749,1,24.95155,121.55387,31.3
393,734898,42.7,443.802,6,24.97927,121.53874,35.3
394,734869,16.9,967.4,4,24.98872,121.53408,40.3
395,735050,32.6,4136.271,1,24.95544,121.4963,24.7
396,734838,21.2,512.5487,4,24.974,121.53842,42.5
397,734747,37.1,918.6357,1,24.97198,121.55063,31.9
398,735020,13.1,1164.838,4,24.99156,121.53406,32.2
399,735020,14.7,1717.193,2,24.96447,121.51649,23.0
400,734838,12.7,170.1289,1,24.97371,121.52984,37.3
401,734959,26.8,482.7581,5,24.97433,121.53863,35.5
402,734898,7.6,2175.03,3,24.96305,121.51254,27.7
403,734806,12.7,187.4823,1,24.97388,121.52981,28.5
404,734747,30.9,161.942,9,24.98353,121.53966,39.7
405,734988,16.4,289.3248,5,24.98203,121.54348,41.2
406,734747,23.0,130.9945,6,24.95663,121.53765,37.2
407,734928,1.9,372.1386,7,24.97293,121.54026,40.5
408,734869,5.2,2408.993,0,24.95505,121.55964,22.3
409,735020,18.5,2175.744,3,24.9633,121.51243,28.1
410,734869,13.7,4082.015,0,24.94155,121.50381,15.4
411,734747,5.6,90.45606,9,24.97433,121.5431,50.0
412,734959,18.8,390.9696,7,24.97923,121.53986,40.6
413,734869,8.1,104.8101,5,24.96674,121.54067,52.5
414,735050,6.5,90.45606,9,24.97433,121.5431,63.9
